GUID 6553e4375e654bdd8ee00d88e4014b98
Type Gun
Useable Gun
Slot Primary
ID 355

Size_X 4
Size_Y 2
Size_Z 0.4

Barrel 354
Magazine 351

Ammo_Min 1
Ammo_Max 1

Semi

Caliber 15
Caliber_Name "Arrow"
Real_Weapon "Bow"

Range 130
Firerate 50
Replace 0.6
Action String

Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Durability 1
Wear 5

Spread_Aim 0.15
Spread_Angle_Degrees 2.828

Ballistic_Steps 52
Ballistic_Travel 5

Recoil_Min_X -0.2
Recoil_Min_Y 0.43
Recoil_Max_X 0.2
Recoil_Max_Y 0.78

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

EquipableModelParent LeftHook

Blueprints
[
	{
		CategoryTag "ad1804b6945145f3b308738b0b8ea447" // Tools
		InputItems
		[
			"9c563bf14d4641a18873f338beaed128 x 7" // Birch Stick
			"5ff4bcf752554990bf06e103b996cef2" // Rope
		]
		OutputItems this
		Skill Craft
		Skill_Level 1
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
	{
		Name Repair
		CategoryTag "732ee6ffeb18418985cf4f9fde33dd11" // Repair
		Operation RepairTargetItem
		InputItems "9c563bf14d4641a18873f338beaed128 x 4" // Birch Stick
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "9c563bf14d4641a18873f338beaed128 x 2" // Birch Stick
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]
Damage_Falloff_Start 40
Damage_Falloff_End 90
Damage_Falloff_Min 0.6
