# unturned-godot walls v1
# wall <x> <y> <z> <yawDeg> <length> <thickness> <materialId> [height] [pitchDeg] [kind] [gableRise] [texel] [insetL0 insetL1 insetR0 insetR1]
#   open <u> <v> <width> <height> <depth> <archetype>
wall -7.635 1995 -14 270 22 0.73 24 5 0 Foundation 0 -1 0 0 0 0
wall -7.635 2000 -14 270 22 0.73 24 4.25 0 Wall 0 -1 0 0 0 0
wall 2 2000 7.635 90 15.1017 0.5 24 4.25 0 Wall 0 -1 0 0 0 0
wall 1.75 2000 -7.7333 180 9.385 0.5333 24 4.25 0 Wall 0 -1 0 0 0 0
wall -2.8625 2004.186 7.885 0 11.1125 0.73 24 0.5638 0 Wall 3 -1 0 0 0 0
wall 8.25 2004.186 -7.885 180 6 0.73 24 0.5 0 Wall 0 -1 0 0 0.2538 0
wall -7.885 2004.186 -14.25 270 22.5 0.73 24 0.5 0 Wall 0 -1 0 0 0 0
wall -8 1995 7.635 -0.0001 16 0.73 24 5 0 Foundation 0 -1 0 0 0 0
wall -8 2000 7.635 -0.0001 16 0.73 24 4.75 0 Wall 2.5 -1 0 0 0 0
  open 11.2648 1 3.19 2.75 999 1
  open 5.6324 1 3.1402 2.75 999 1
  open 1.8863 1 2.5 2.75 999 1
wall 8 1995 -7.635 180 5.75 0.73 24 5 0 Foundation 0 -1 0 0 0 0
wall 8 2000 -7.635 180 6.25 0.73 24 4.25 0 Wall 0 -1 0 0 0 0
  open 1.55 1 3.2 2.75 999 1
wall 1.885 1995 -8 90 6 0.73 24 5 0 Foundation 0 -1 0 0 0 0
wall 1.885 2000 -8 90 6 0.73 24 4.25 0 Wall 0 -1 0 0 0 0
  open 0.9917 1 3.5207 2.75 999 1
wall 7.635 1995 8 90 16 0.73 24 5 0 Foundation 0 -1 0 0 0 0
wall 7.635 2000 8 90 16 0.73 24 4.75 0 Wall 1.5 -1 0 0 0 0
  open 1.7866 0 2.5 2.75 999 0
  open 5.5327 1 4.9346 2.75 999 1
wall 2.25 1995 -13.635 180 10.25 0.73 24 5 0 Foundation 0 -1 0 0 0 0
wall 2.25 2000 -13.635 180 10.25 0.73 24 4.75 0 Wall 2.5 -1 0 0 0 0
  open 1.4927 1 3.1347 2.75 999 1
wall 8.25 2004.75 8 -180 11.1125 0.5 24 8.2462 75.9637 Roof 0 1 0 0 5.1116 0.0008
wall -2.8625 2004.75 -8 0 11.1125 0.5 24 8.2462 75.9638 Roof 0 1 5.1116 0.0008 0 0
wall -8 2004.75 8.25 90 22.5 0.5 24 5.9493 59.7176 Roof 0 1 0 0 0 0
wall 2.25 2004.75 -14.25 -90 22.5 0.5 24 5.9277 59.5958 Roof 0 1 0 0 0 0
