id	type	folder	width	height	size_x	size_y
2	Pants	Jeans_Work	4	3	2	2
3	Shirt	Hoodie_Orange	5	3	3	2
9	Backpack	Daypack_Red	7	4	2	2
10	Vest	Vest_Police	5	4	2	2
11	Mask	Bandana_Red	0	0	1	1
23	Pants	Tuxedo_Bottom_Gold	0	0	2	2
24	Shirt	Tuxedo_Top_Gold	0	0	3	2
25	Mask	Bowtie_Gold	0	0	1	1
26	Glasses	Monocle_Gold	0	0	1	1
27	Hat	Tophat	0	0	2	2
154	Shirt	Shirt_Orange	5	2	3	2
155	Shirt	Tee_Orange	4	2	3	2
156	Shirt	Parka_Orange	6	3	3	2
157	Shirt	Hoodie_Purple	5	3	3	2
158	Shirt	Shirt_Purple	5	2	3	2
159	Shirt	Tee_Purple	4	2	3	2
160	Shirt	Parka_Purple	6	3	3	2
161	Shirt	Hoodie_Green	5	3	3	2
162	Shirt	Parka_Green	6	3	3	2
163	Shirt	Shirt_Green	5	2	3	2
164	Shirt	Tee_Green	4	2	3	2
165	Shirt	Hoodie_Red	5	3	3	2
166	Shirt	Parka_Red	6	3	3	2
167	Shirt	Shirt_Red	5	2	3	2
168	Shirt	Tee_Red	4	2	3	2
169	Shirt	Hoodie_Yellow	5	3	3	2
170	Shirt	Parka_Yellow	6	3	3	2
171	Shirt	Shirt_Yellow	5	2	3	2
172	Shirt	Tee_Yellow	4	2	3	2
173	Shirt	Hoodie_Blue	5	3	3	2
174	Shirt	Parka_Blue	6	3	3	2
175	Shirt	Shirt_Blue	5	2	3	2
176	Shirt	Tee_Blue	4	2	3	2
177	Shirt	Hoodie_White	5	3	3	2
178	Shirt	Parka_White	6	3	3	2
179	Shirt	Shirt_White	5	2	3	2
180	Shirt	Tee_White	4	2	3	2
181	Shirt	Hoodie_Black	5	3	3	2
182	Shirt	Parka_Black	6	3	3	2
183	Shirt	Shirt_Black	5	2	3	2
184	Shirt	Tee_Black	4	2	3	2
185	Mask	Bandana_Black	0	0	1	1
186	Mask	Bandana_Blue	0	0	1	1
187	Mask	Bandana_Green	0	0	1	1
