GUID ef50b4155ded471284377c2b199d0409
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 132

Size_X 5
Size_Y 2
Size_Z 0.3
Size2_Z 0.55

Sight 134
Magazine 133

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 30
Ammo_Max 200

Safety
Auto

Caliber 12
Caliber_Name "5.56x45mm NATO"
Real_Weapon "FN M249 SAW"

Equipable_Movement_Speed_Multiplier 0.95

Range 175
Firerate 4
Unplace 0.2
Replace 0.8
Action Trigger

Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 17
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 17
Resource_Damage 10
Object_Damage 17

Invulnerable

Durability 0.13

Aim_In_Duration 0.25
Spread_Aim 0.2
Spread_Angle_Degrees 2.828

Recoil_Min_X 0.85
Recoil_Min_Y 1.87
Recoil_Max_X 0.85
Recoil_Max_Y 3.4

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.004
Shake_Min_Y 0.004
Shake_Min_Z -0.01
Shake_Max_X 0.004
Shake_Max_Y -0.004
Shake_Max_Z -0.02

Muzzle 3

Blueprints
[
	{
		Name Repair
		CategoryTag "732ee6ffeb18418985cf4f9fde33dd11" // Repair
		Operation RepairTargetItem
		InputItems
		[
			{
				ID "21ede8ebffb14c5580e8c7ad149e335e" // Metal Scrap
				Amount 7
			}
			{
				ID "5830b84bf8074caa91cf3f4dde0dd19e" // Blowtorch
				Delete false
			}
		]
		Skill Repair
		Skill_Level 2
		RequiresNearbyCraftingTags
		[
			"7b82c125a5a54984b8bb26576b59e977" // Workbench
		]
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "21ede8ebffb14c5580e8c7ad149e335e x 5" // Metal Scrap
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]
Ballistic_Travel 18.3
Bullet_Gravity_Multiplier 1.4
Ballistic_Steps 25
Damage_Falloff_Start 110
Damage_Falloff_End 207
Damage_Falloff_Min 0.5
Recoil_Pattern_Climb 1.7
Recoil_Pattern_Drift 3.02
Recoil_Pattern_Drift_Exp 1.6
Recoil_Pattern_Wiggle 0.0
Recoil_Scatter_H 0.29
Recoil_Scatter_V 0.22
Recoil_Pattern_Nodes 20
Recoil_Pattern_Drift_Start 5
Recoil_Pattern_Sway 1.1
Recoil_Pattern_Sway_Start 10
Recoil_Pattern_Plateau 2.3
Recoil_Scatter_Tight_Early
