cobra	0.0000,-0.1790,-0.1270	-0.0000,-0.7706,-0.1266
zubeknakov	0.0000,-0.1841,-0.1237	
grizzly	0.0000,-0.2125,-0.1426	
timberwolf	0.0000,-0.1837,-0.1702	
sabertooth	0.0000,-0.2125,-0.1387	
colt	0.0000,-0.1820,-0.1340	-0.0000,-0.7706,-0.1337
snayperskya	0.0000,-0.2130,-0.1380	
ace	0.0000,-0.1990,-0.1340	-0.0000,-0.6706,-0.1337
augewehr	0.0000,-0.1990,-0.1020	
avenger	0.0000,-0.1772,-0.1270	-0.0000,-0.7706,-0.1267
bluntforce	0.0000,0.0555,-0.1348	
nightraider	0.0000,-0.2580,-0.2060	
heartbreaker	0.0000,-0.2247,-0.1419	
nykorev	0.0000,-0.1758,-0.1332	
sportshot	0.0000,-0.1759,-0.1746	
schofield	0.0000,-0.1364,-0.1717	
sawed_off	0.0000,-0.0519,-0.1358	-0.0000,-0.0919,-0.1658
desert_falcon	0.0000,-0.1450,-0.1370	-0.0000,-0.7707,-0.1372
hawkhound	0.0000,-0.1837,-0.1702	
dragonfang	0.0000,-0.1964,-0.1332	
shadowstalker	0.0000,-0.2398,-0.1386	
honeybadger	0.0000,-0.2269,-0.1386	
crossbow	0.0000,-0.1189,-0.1630	
bow_maple		
bow_birch		
bow_pine		
bow_compound	-0.0270,0.2449,0.0279	
launcher_rocket	0.0000,-0.2399,-0.1598	
eaglefire	0.0000,-0.2398,-0.1386	
maplestrike	0.0000,-0.2398,-0.1386	
masterkey	0.0000,-0.0519,-0.1358	-0.0000,-0.0919,-0.1658
empire	0.0000,-0.2269,-0.1352	
yuri	0.0000,-0.1843,-0.1262	
matamorez	0.0000,-0.2125,-0.1387	
peacemaker	0.0000,0.0250,-0.2280	
viper	0.0000,-0.2269,-0.1352	
kryzkarek	0.0000,-0.1565,-0.1400	-0.0000,-0.7620,-0.1464
nailgun	0.0000,-0.6710,-0.1590	
paintballgun	0.0000,-0.2398,-0.1386	
teklowvka	0.0000,-0.2294,-0.1350	-0.0000,-0.7206,-0.1350
fury	0.0000,0.1030,-0.3420	
vonya	0.0000,-0.0550,-0.1240	
bulldog	0.0000,-0.1420,-0.1180	
fusilaut	-0.0000,-0.2730,-0.2330	
card	0.0000,-0.2269,-0.1352	
ekho	0.0000,-0.0763,-0.1702	
quadbarrel	0.0000,-0.1100,-0.1490	
shadowstalkermk2	0.0000,-0.2398,-0.1386	
scalar	0.0000,-0.1700,-0.1260	
luger	0.0000,-0.2837,-0.1250	-0.0000,-0.6706,-0.1250
mp40	0.0000,-0.2269,-0.1233	
determinator	0.0000,-0.1750,-0.1320	-0.0000,-0.7206,-0.1320
bane	0.0000,-0.1970,-0.1290	
swissgewehr	0.0000,-0.2250,-0.1470	
