2	Work Jeans	Pants	Common	2	2	Denim construction pants.	67a6ec52e4b24ffd89f75ceee0eb5179
3	Orange Hoodie	Shirt	Common	3	2	Chilly weather hoodie.	67c76cdf16024bf68b6e5d14d4c617ab
4	Eaglefire	Gun	Rare	4	2	American assault rifle chambered in Military ammunition.	b03d581a5c1a490f995f8deba57b0f17
5	Eaglefire Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	ec62d401a5a94d87a04564cc5705c026
6	Military Magazine	Magazine	Rare	2	1	Low caliber military grade magazine. Designed to fit 30 rounds.	dbfb1d0d11ca438e9dffb95f76e61274
7	Military Suppressor	Barrel	Epic	2	1	Military grade suppressor. Makes gunshots much quieter.	df490ac8004a421aa0f513bdb11b8b54
8	Vertical Grip	Grip	Rare	1	2	Military grade vertical grip. Reduces vertical recoil.	031b5742d7514db0966cdc21b853a7a6
9	Red Daypack	Backpack	Common	2	2	Medium sized synthetic backpack.	e9b11d5b1fad40878777ab4a1df96320
10	Police Vest	Vest	Rare	2	2	Bullet resistant law enforcement gear.	fe9c024b96504144952c055aea57c5fc
11	Red Bandana	Mask	Common	1	1	Tablecloth for your neck.	1f82743e1e6c4c0c8c22af021136045b
13	Canned Beans	Food	Common	1	1	Very tactically packed for maximum taste.	78fefdd23def4ab6ac8301adfcc3b2d4
14	Bottled Water	Water	Common	1	1	Overpriced tap water.	f81d68ebb2a8490dbe1545d432b9c099
15	Medkit	Medical	Legendary	2	2	A box of hospital medical equipment suited for healing a wide variety of injuries.	52870b441a0248f985543a9ebc31f61e
16	Camp Axe	Melee	Common	2	3	Simple logging axe.	3bba8c2b013646fb964932c31060b60a
17	Military Drum	Magazine	Epic	2	2	Low caliber military grade drum. Designed to fit 100 rounds.	87247d4bb3c548a1b34424bafa11e74a
18	Timberwolf	Gun	Legendary	5	2	Canadian sniper rifle chambered in Timberwolf ammunition.	8550c31ea94c4bc5a7d30078c40012c0
19	Timberwolf Iron Sights	Sight	Common	1	1	Rail mounted iron sights.	99a5b54099cb4b2dbd1c24246526f85e
