Kent Raceway	-299.76,41.20,615.05
Seattle	-304.38,38.33,133.36
Tacoma	252.92,66.21,512.93
Everett	754.73,38.45,-250.64
Rainbridge Island	-185.07,30.96,321.15
Paradise Point	717.55,44.50,823.91
Scorpion-7	850.03,43.50,-580.20
Camano Campground	153.53,38.41,-343.86
Clearwater Campground	116.56,38.51,-854.99
Bellevue Golf Course	-534.81,38.32,-461.99
Olympia Military Base	-692.35,46.73,393.04
Shelton Farm	627.88,40.36,62.35
Arlington Farm	246.24,38.40,791.25
Kennewick Farm	-780.80,72.89,-189.96
Heritage Valley	-804.38,38.47,780.88
Puget Sound	165.86,12.21,155.22
