name	assetId	health	rewardXp	resetSec	rewardMin	rewardMax	hasDebris	isForage	bladeId	vulnAllMelee	vulnFists	drops	label
Birch_0	3	800	4	450	7	10	0	0	0	0	0	37:60|38:40	Birch #1
Birch_1	4	800	4	450	7	10	0	0	0	0	0	37:60|38:40	Birch #2
Birch_2	32	800	4	450	7	10	0	0	0	0	0	37:60|38:40	Russia Birch #1
Birch_3	33	800	4	450	7	10	0	0	0	0	0	37:60|38:40	Russia Birch #2
Birch_4	34	800	4	450	7	10	0	0	0	0	0	37:60|38:40	Russia Birch #3
Bush_0	7	1000	0	0	0	0	0	0	0	0	0		Bush #1
Bush_1	8	1000	0	0	0	0	0	0	0	0	0		Bush #2
Bush_10	54	1000	0	0	0	0	0	0	0	0	0		Bush Snow #1
Bush_11	55	1000	0	0	0	0	0	0	0	0	0		Bush Snow #2
Bush_2	23	1000	0	0	0	0	0	0	0	0	0		Russia Bush #1
Bush_3	24	1000	0	0	0	0	0	0	0	0	0		Russia Bush #2
Bush_4	25	1000	0	0	0	0	0	0	0	0	0		Russia Bush #3
Bush_5	26	1000	0	0	0	0	0	0	0	0	0		Russia Bush #4
Bush_6	27	1000	0	0	0	0	0	0	0	0	0		Russia Bush #5
Bush_7	28	1000	0	0	0	0	0	0	0	0	0		Russia Bush #6
Bush_8	47	1000	0	0	0	0	0	0	0	0	0		Peaks Bush #1
Bush_9	48	1000	0	0	0	0	0	0	0	0	0		Peaks Bush #2
Bush_Amber	12	1	0	1000	0	0	0	1	0	0	0	270:100	Bush Amber
Bush_Amber_Snow	56	1	0	1000	0	0	0	1	0	0	0	270:100	Bush Amber Snow
Bush_Hanu	80	1	0	1000	0	0	0	1	0	0	0	571:100	Bush White
Bush_Hanu_Snow	81	1	0	1000	0	0	0	1	0	0	0	571:100	Bush White Snow
Bush_Indigo	13	1	0	1000	0	0	0	1	0	0	0	271:100	Bush Indigo
Bush_Indigo_Snow	57	1	0	1000	0	0	0	1	0	0	0	271:100	Bush Indigo Snow
Bush_Jade	14	1	0	1000	0	0	0	1	0	0	0	272:100	Bush Jade
Bush_Jade_Snow	58	1	0	1000	0	0	0	1	0	0	0	272:100	Bush Jade Snow
