GUID c9e5a852b9c14206b483e629ee33ade0
Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 101

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.8

Sight 102
Magazine 103

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Caliber 5
Caliber_Name "7.62x54mmR"
Real_Weapon "Mosin-Nagant"

Range 200
Firerate 50
Action Bolt
Shell_Reload 1

Damage 38
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 20

Durability 0.4

Spread_Aim 0.01
Spread_Angle_Degrees 2.828

Recoil_Min_X -2.43
Recoil_Min_Y 5.34
Recoil_Max_X 2.43
Recoil_Max_Y 9.71

Recover_X 0.3
Recover_Y 0.3

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints
[
	{
		Name Repair
		CategoryTag "732ee6ffeb18418985cf4f9fde33dd11" // Repair
		Operation RepairTargetItem
		InputItems "21ede8ebffb14c5580e8c7ad149e335e x 3" // Metal Scrap
		RequiresNearbyCraftingTags
		[
			"7b82c125a5a54984b8bb26576b59e977" // Workbench
		]
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems
		[
			"21ede8ebffb14c5580e8c7ad149e335e" // Metal Scrap
			"e73a23b102f24520a32ec0b2afaa6157" // Maple Plank
		]
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]
Ballistic_Travel 17.3
Ballistic_Steps 121
Bullet_Gravity_Multiplier 1.4
Damage_Falloff_Start 170
Damage_Falloff_End 340
Damage_Falloff_Min 0.72
