1840	0a0a0a	Midnight Black Vehicle Spraypaint
1841	E6E6E6	Brilliant White Vehicle Spraypaint
1842	25C891	Turquoise Vehicle Spraypaint
1843	3B4EB9	Azure Vehicle Spraypaint
1844	CF20AC	Magenta Vehicle Spraypaint
1845	EC2A20	Hotrod Red Vehicle Spraypaint
1846	4EE9E3	Cyan Vehicle Spraypaint
1847	53E719	Lime Green Vehicle Spraypaint
1848	ECE213	Electric Yellow Vehicle Spraypaint
1849	753CAD	Medium Purple Vehicle Spraypaint
1850	505050	Dark Gray Vehicle Spraypaint
1851	6E6E6E	Medium Gray Vehicle Spraypaint
1852	969696	Light Gray Vehicle Spraypaint
1853	0F570E	Dark Green Vehicle Spraypaint
1854	5B1207	Crimson Vehicle Spraypaint
1855	152A4F	Navy Vehicle Spraypaint
1856	353535	Classic Black Vehicle Spraypaint
1857	37658c	Classic Blue Vehicle Spraypaint
1858	2e642e	Classic Green Vehicle Spraypaint
1859	bd6e27	Classic Orange Vehicle Spraypaint
1860	6a466d	Classic Purple Vehicle Spraypaint
1861	9a2525	Classic Red Vehicle Spraypaint
1862	d4d4d4	Classic White Vehicle Spraypaint
1863	cdaa1e	Classic Yellow Vehicle Spraypaint
1864	412D1E	Dark Brown Vehicle Spraypaint
1865	765836	Medium Brown Vehicle Spraypaint
1866	9F769F	Lavender Vehicle Spraypaint
1873	475e83	Coalition Military Vehicle Spraypaint
1874	a69884	Desert Military Vehicle Spraypaint
1875	437c44	Forest Military Spraypaint
1876	495631	Olive Green Military Vehicle Spraypaint
1877	e58834	Scorpion-7 Vehicle Spraypaint
