== L1: in-engine tests (headless godot, one boot) ==
[BUILD] HEAD is fe00a1cd, assembly was built from 68e9012018d44f4095727fda23a13776dec1f89e -- forcing a cold compile
[TEST] caches.clear_all                           | PASS | 0.07s (6 checks)
[TEST] fluid.water_quality_table                  | PASS | 0.02s (23 checks)
[TEST] keybind.conflict_detection                 | PASS | 0.00s (8 checks)
[TEST] keybind.defaults_complete                  | PASS | 0.00s (4 checks)
[TEST] keybind.serialize_roundtrip                | PASS | 0.01s (15 checks)
[TEST] keybind.testmode_isolation                 | PASS | 0.00s (4 checks)
[TEST] keybind.unbound_is_inert                   | PASS | 0.00s (6 checks)
[TEST] smoke.content_loads                        | PASS | 0.31s (3 checks)
[TEST] smoke.engine_boots                         | PASS | 0.00s (3 checks)
[TEST] terrain.hole_persistence                   | PASS | 0.20s (11 checks)
[TEST] ammo.stack_visual                          | PASS | 0.31s (375 checks)
[TEST] animal.combat                              | PASS | 0.04s (11 checks)
[TEST] animal.horse_fauna                         | PASS | 0.00s (5 checks)
[TEST] animal.horse_materialize                   | PASS | 2.09s (9 checks)
[TEST] armor.product_aggregation                  | PASS | 0.14s (7 checks)
[TEST] attach.magazine_no_dupe                    | PASS | 0.53s (8 checks)
[TEST] attach.swap_not_stack                      | PASS | 0.18s (12 checks)
[TEST] attachments.tactical_rail                  | PASS | 5.78s (30 checks)
[TEST] audio.resource_break                       | PASS | 0.06s (34 checks)
[TEST] audio.throwables                           | PASS | 0.08s (52 checks)
[TEST] barricade.attach_seam                      | PASS | 0.02s (5 checks)
[TEST] barricade.clearance_lattice                | PASS | 0.02s (1 checks)
[TEST] barricade.def_mount                        | PASS | 0.05s (7 checks)
[TEST] barricade.door_barricade                   | PASS | 0.12s (6 checks)
[TEST] barricade.orientation_primitives           | PASS | 0.00s (12 checks)
[TEST] barricade.playground                       | PASS | 0.04s (6 checks)
[TEST] barricade.preplaced                        | PASS | 0.12s (6 checks)
[TEST] barricade.preplaced_baked                  | PASS | 0.06s (3 checks)
[TEST] barricade.spawn_wall                       | PASS | 0.08s (5 checks)
[TEST] barricade.surface_placement                | PASS | 0.01s (12 checks)
[TEST] barricade.vehicle_surface                  | PASS | 0.04s (2 checks)
[TEST] barricade.window_remove                    | PASS | 0.10s (3 checks)
[TEST] barricade.window_snap                      | PASS | 0.12s (7 checks)
[TEST] barricade.window_snap_baked                | PASS | 0.10s (5 checks)
[TEST] barricade.window_styles                    | PASS | 0.22s (8 checks)
[TEST] bed.claim_lifecycle                        | PASS | 0.07s (8 checks)
[TEST] bed.destroyed_removes_spawn                | PASS | 0.10s (6 checks)
[TEST] bed.not_stealable                          | PASS | 0.02s (4 checks)
[TEST] bed.shot_destroys_and_clears_spawn         | PASS | 0.80s (5 checks)
[TEST] bugreport.capture_pipeline                 | PASS | 2.25s (32 checks)
[TEST] buildtool.auto_floor_fills_a_room          | PASS | 0.10s (9 checks)
[TEST] buildtool.auto_floor_key                   | PASS | 0.08s (3 checks)
[TEST] buildtool.auto_floor_needs_enclosure       | PASS | 0.12s (4 checks)
[TEST] buildtool.auto_floor_partition             | PASS | 0.08s (3 checks)
[TEST] buildtool.auto_floor_per_room              | PASS | 0.08s (4 checks)
[TEST] buildtool.auto_floor_plan_is_walls_only    | PASS | 0.04s (7 checks)
[TEST] buildtool.auto_foundation_lowest_only      | PASS | 0.12s (3 checks)
[TEST] buildtool.bake_round_trips_through_the_prop_pipeline | PASS | 0.10s (12 checks)
[TEST] buildtool.basements                        | PASS | 0.01s (5 checks)
[TEST] buildtool.broken_glass_leaves_shards       | PASS | 0.05s (10 checks)
[TEST] buildtool.broken_glass_needs_glass         | PASS | 0.04s (4 checks)
[TEST] buildtool.broken_glass_persists_and_dupes  | PASS | 0.11s (11 checks)
[TEST] buildtool.collider_matches_the_hole        | PASS | 0.02s (5 checks)
[TEST] buildtool.copy_paste_floor_keeps_openings  | PASS | 0.04s (5 checks)
[TEST] buildtool.copy_paste_floor_lifts_a_storey  | PASS | 0.06s (10 checks)
[TEST] buildtool.copy_paste_floor_skips_foundations_and_roofs | PASS | 0.08s (5 checks)
[TEST] buildtool.copy_paste_floor_takes_only_the_active_storey | PASS | 0.05s (3 checks)
[TEST] buildtool.copy_paste_floor_undo_removes_only_the_paste | PASS | 0.08s (7 checks)
[TEST] buildtool.corners_are_solved_on_bake       | PASS | 0.20s (11 checks)
[TEST] buildtool.cut_span_out_of_wall             | PASS | 0.10s (9 checks)
[TEST] buildtool.drag_ghost_ignores_what_is_being_drawn | PASS | 0.08s (4 checks)
[TEST] buildtool.drawn_roof_overhangs_and_meets_its_gable | PASS | 0.04s (4 checks)
[TEST] buildtool.drawn_slab_undo                  | PASS | 0.15s (7 checks)
[TEST] buildtool.duplicate_floor_key              | PASS | 0.06s (12 checks)
[TEST] buildtool.duplicate_walls_merge            | PASS | 0.08s (6 checks)
[TEST] buildtool.duplicated_surfaces_keep_every_setting | PASS | 0.05s (7 checks)
[TEST] buildtool.every_drag_tool_has_a_ghost      | PASS | 0.14s (12 checks)
[TEST] buildtool.floor_hole_is_real               | PASS | 0.10s (9 checks)
[TEST] buildtool.floor_is_a_wall_lying_down       | PASS | 0.08s (10 checks)
[TEST] buildtool.floors_and_roof_overhang         | PASS | 0.07s (6 checks)
[TEST] buildtool.foundation_is_a_skirt            | PASS | 0.04s (10 checks)
[TEST] buildtool.gable_roof_closes_at_a_ridge     | PASS | 0.05s (12 checks)
[TEST] buildtool.ghost_goes_red_inside_something  | PASS | 0.06s (6 checks)
[TEST] buildtool.ghost_is_not_a_surface           | PASS | 0.03s (4 checks)
[TEST] buildtool.ghost_touching_is_not_overlapping | PASS | 0.04s (3 checks)
[TEST] buildtool.glass_edits_undo                 | PASS | 0.12s (7 checks)
[TEST] buildtool.glass_panes_fill_and_shatter     | PASS | 0.21s (12 checks)
[TEST] buildtool.glass_survives_editing           | PASS | 0.08s (7 checks)
[TEST] buildtool.glass_survives_save_and_load     | PASS | 0.00s (11 checks)
[TEST] buildtool.grid_follows_storey              | PASS | 0.06s (5 checks)
[TEST] buildtool.grid_snap_and_opening_hard_edges | PASS | 0.12s (9 checks)
[TEST] buildtool.hud_and_door_fit_geometry        | PASS | 0.00s (6 checks)
[TEST] buildtool.imported_roofs_match_the_source_planes | PASS | 0.13s (28 checks)
[TEST] buildtool.imported_walls_face_outward      | PASS | 0.17s (3 checks)
[TEST] buildtool.imports_a_retail_building        | PASS | 0.08s (28 checks)
[TEST] buildtool.imports_floors                   | PASS | 0.07s (6 checks)
[TEST] buildtool.material_is_a_retail_palette     | PASS | 0.01s (5 checks)
[TEST] buildtool.one_tool_at_a_time               | PASS | 0.01s (27 checks)
[TEST] buildtool.opening_archetypes_fit_their_fills | PASS | 0.00s (16 checks)
[TEST] buildtool.opening_can_hold_a_door          | PASS | 0.08s (8 checks)
[TEST] buildtool.opening_door_survives_save       | PASS | 0.00s (6 checks)
[TEST] buildtool.opening_moves_between_walls      | PASS | 0.08s (9 checks)
[TEST] buildtool.overlap_warning                  | PASS | 0.01s (6 checks)
[TEST] buildtool.paint_commit_undoes_to_the_true_original | PASS | 0.08s (7 checks)
[TEST] buildtool.paint_follows_the_selected_side  | PASS | 0.10s (10 checks)
[TEST] buildtool.paint_preview_dies_with_the_handles | PASS | 0.06s (4 checks)
[TEST] buildtool.paint_preview_never_reaches_disk | PASS | 0.04s (8 checks)
[TEST] buildtool.paint_preview_shows_and_restores | PASS | 0.06s (8 checks)
[TEST] buildtool.per_side_wall_materials          | PASS | 0.06s (9 checks)
[TEST] buildtool.rain_shelter_matches_engine      | PASS | 1.00s (1 checks)
[TEST] buildtool.rain_shelter_matches_raycast     | PASS | 0.05s (3 checks)
[TEST] buildtool.roof_hip_planes_meet             | PASS | 0.05s (8 checks)
[TEST] buildtool.roof_modify_in_place             | PASS | 0.14s (9 checks)
[TEST] buildtool.roof_remove_restores_walls       | PASS | 0.10s (5 checks)
[TEST] buildtool.roof_square_hip_is_a_pyramid     | PASS | 0.06s (2 checks)
[TEST] buildtool.shards_are_scenery               | PASS | 0.02s (4 checks)
[TEST] buildtool.shelter_probe_sees_past_walls    | PASS | 0.07s (6 checks)
[TEST] buildtool.slabs_survive_save_and_bake      | PASS | 0.03s (7 checks)
[TEST] buildtool.smash_every_window_preset        | PASS | 0.12s (10 checks)
[TEST] buildtool.stairs_cut_and_ramp              | PASS | 0.12s (6 checks)
[TEST] buildtool.stairs_land_flush                | PASS | 0.01s (5 checks)
[TEST] buildtool.stairs_place_at_the_hit          | PASS | 0.03s (5 checks)
[TEST] buildtool.stairs_snap_to_footprint         | PASS | 0.02s (8 checks)
[TEST] buildtool.tee_and_cross_junctions          | PASS | 0.10s (11 checks)
[TEST] buildtool.trim_is_flat_shaded              | PASS | 0.00s (2 checks)
[TEST] buildtool.trim_is_shootable_but_not_solid  | PASS | 0.02s (4 checks)
[TEST] buildtool.wall_delete_is_undoable          | PASS | 0.02s (7 checks)
[TEST] buildtool.walls_survive_save_and_load      | PASS | 0.03s (13 checks)
[TEST] buildtool.whole_stage_operations_undo      | PASS | 0.19s (6 checks)
[TEST] chat.bans_persist                          | PASS | 0.01s (9 checks)
[TEST] chat.ui_behaves                            | PASS | 0.10s (10 checks)
[TEST] clothing.equip_drives_visual               | PASS | 0.14s (17 checks)
[TEST] clothing.inventory_drop_gesture            | PASS | 0.17s (4 checks)
[TEST] clothing.inventory_equip_unequip           | PASS | 0.14s (26 checks)
[TEST] clothing.signature_watches_worn            | PASS | 0.16s (5 checks)
[TEST] collbudget.streams_by_distance             | PASS | 0.01s (12 checks)
[TEST] combat.impact_blast                        | PASS | 0.00s (5 checks)
[TEST] combat.rain_masks_emitted_noise            | PASS | 0.46s (12 checks)
[TEST] combat.shot_origin                         | PASS | 11.24s (25 checks)
[TEST] console.give_quantity                      | PASS | 0.67s (10 checks)
[TEST] console.heal                               | PASS | 1.32s (16 checks)
[TEST] console.kill                               | PASS | 0.25s (2 checks)
[TEST] console.spawn_animal                       | PASS | 0.25s (15 checks)
[TEST] console.spawn_verbs                        | PASS | 0.23s (4 checks)
[TEST] console.temperature                        | PASS | 11.28s (28 checks)
[TEST] console.time_parse                         | PASS | 0.00s (19 checks)
[TEST] content.lens_emission_mask                 | PASS | 0.12s (17 checks)
[TEST] cook.lit_appliance                         | PASS | 4.71s (24 checks)
[TEST] cook.repro_mains                           | PASS | 16.51s (12 checks)
[TEST] craft.blueprints_resolve                   | PASS | 0.12s (14 checks)
[TEST] craft.catalog_self_loads                   | PASS | 0.09s (11 checks)
[TEST] craft.index_filter                         | PASS | 0.10s (13 checks)
[TEST] craft.queue                                | PASS | 0.10s (16 checks)
[TEST] craft.skill_gate                           | PASS | 0.00s (6 checks)
[TEST] craft.stations                             | PASS | 0.00s (5 checks)
[TEST] daynight.day_counter                       | PASS | 0.00s (6 checks)
[TEST] deadzone.clean_ground_safe                 | PASS | 0.24s (2 checks)
[TEST] deadzone.hurts_unprotected                 | PASS | 0.23s (7 checks)
[TEST] deadzone.infection                         | PASS | 4.25s (17 checks)
[TEST] deadzone.loopback_dose                     | PASS | 0.60s (7 checks)
[TEST] deadzone.map_volumes_load                  | PASS | 0.24s (18 checks)
[TEST] debug.hitbox_client_wires                  | PASS | 0.29s (4 checks)
[TEST] debug.hitbox_console                       | PASS | 0.01s (8 checks)
[TEST] deploy.ceiling_hangs                       | PASS | 0.09s (16 checks)
[TEST] deploy.damage_stages                       | PASS | 0.07s (8 checks)
[TEST] deploy.generator_runs_dry                  | PASS | 0.14s (4 checks)
[TEST] deploy.grid_source_interaction             | PASS | 0.02s (4 checks)
[TEST] deploy.ids_do_not_collide                  | PASS | 0.08s (5 checks)
[TEST] deploy.placement_reason                    | PASS | 0.08s (8 checks)
[TEST] deploy.placer_aim                          | PASS | 0.06s (5 checks)
[TEST] deploy.port_arrows                         | PASS | 0.03s (4 checks)
[TEST] deploy.splitter_placement                  | PASS | 0.04s (2 checks)
[TEST] deploy.state_persists                      | PASS | 0.04s (3 checks)
[TEST] destructible.batched_break_swaps_slots     | PASS | 0.06s (13 checks)
[TEST] destructible.break_hides_and_untargets     | PASS | 0.04s (8 checks)
[TEST] destructible.local_fire_breaks_prop        | PASS | 1.72s (4 checks)
[TEST] destructible.register_before_setcount      | PASS | 0.02s (7 checks)
[TEST] door.breaks_down                           | PASS | 0.10s (4 checks)
[TEST] door.hinge_lies_on_its_leaf                | PASS | 0.00s (15 checks)
[TEST] door.locked_refuses                        | PASS | 0.02s (7 checks)
[TEST] door.placed_wooden_door_swings_90          | PASS | 0.92s (13 checks)
[TEST] door.player_locks_own                      | PASS | 0.28s (8 checks)
[TEST] door.shot_breaks_down                      | PASS | 0.92s (2 checks)
[TEST] door.solid_only_at_endpoints               | PASS | 4.14s (12 checks)
[TEST] door.swings_and_blocks                     | PASS | 0.95s (7 checks)
[TEST] editor.every_catalog_entry_previews        | PASS | 0.73s (4 checks)
[TEST] editor.grid_snap_follows_the_drag_axis     | PASS | 0.00s (8 checks)
[TEST] editor.map_names_are_safe_paths            | PASS | 0.00s (35 checks)
[TEST] editor.palette_preview_spins_in_place      | PASS | 0.06s (4 checks)
[TEST] editor.playtest_spawns_under_the_camera    | PASS | 0.05s (5 checks)
[TEST] editor.road_draw_junctions                 | PASS | 0.03s (11 checks)
[TEST] editor.road_draw_nodes                     | PASS | 0.03s (10 checks)
[TEST] editor.road_draw_tool                      | PASS | 0.01s (5 checks)
[TEST] editor.road_graph_persist                  | PASS | 0.07s (13 checks)
[TEST] editor.road_panel_buttons                  | PASS | 0.04s (8 checks)
[TEST] editor.road_prop_connectors                | PASS | 0.01s (9 checks)
[TEST] editor.road_spline_snap                    | PASS | 0.01s (6 checks)
[TEST] editor.smart_props                         | PASS | 0.62s (20 checks)
[TEST] editor.undo_terrain_and_river              | PASS | 18.73s (26 checks)
[TEST] equip.dispatch_coverage                    | PASS | 0.52s (41 checks)
[TEST] farm.crops_loop                            | PASS | 0.00s (4 checks)
[TEST] farm.grow_harvest                          | PASS | 0.00s (6 checks)
[TEST] farm.second_yield_roll                     | PASS | 0.00s (5 checks)
[TEST] fluid.art_placements_and_flow              | PASS | 3.82s (217 checks)
[TEST] fluid.container_drink_modes                | PASS | 0.13s (16 checks)
[TEST] fluid.fill_command                         | PASS | 0.09s (23 checks)
[TEST] fluid.idle_posttick_group                  | PASS | 0.01s (9 checks)
[TEST] fluid.pickup_refunds_over_the_wire         | PASS | 2.42s (14 checks)
[TEST] fluid.place_consumes_over_the_wire         | PASS | 0.92s (14 checks)
[TEST] fluid.pumpjack                             | PASS | 0.10s (19 checks)
[TEST] fluid.sink_prop_identity                   | PASS | 0.00s (5 checks)
[TEST] fluid.sink_spout_anchor                    | PASS | 0.01s (16 checks)
[TEST] fluid.sink_water_input                     | PASS | 0.78s (13 checks)
[TEST] fluid.water_mains_gate                     | PASS | 0.40s (5 checks)
[TEST] fluid.water_mains_shape                    | PASS | 0.04s (13 checks)
[TEST] fluid.well_source                          | PASS | 0.04s (15 checks)
[TEST] foliage.authoring_format                   | PASS | 1.36s (17 checks)
[TEST] foliage.paint_brush                        | PASS | 0.90s (9 checks)
[TEST] food.spoilage                              | PASS | 0.09s (33 checks)
[TEST] forage.plants                              | PASS | 0.19s (46 checks)
[TEST] gfx.chromatic                              | PASS | 0.04s (8 checks)
[TEST] graphics.vertex_shading                    | PASS | 0.26s (7 checks)
[TEST] gun.action_types                           | PASS | 0.08s (9 checks)
[TEST] gun.attachment_fit                         | PASS | 0.10s (96 checks)
[TEST] gun.attachment_item_behaves                | PASS | 0.31s (12 checks)
[TEST] gun.avenger_usp_45                         | PASS | 0.11s (34 checks)
